Ligand,SMILE,PDBCode
6b5g_decoy_8,COc1cccc(C[C@@H]2C3=NC=NC(=O)OC[C@@](OCCOOO)(OC(=O)O)C(=O)N(C)C(=O)C4=CN2C(=N3)NC4=O)c1,6b5g
6b5g_decoy_9,C[C@@]1(COC(=O)O)CCN(C(=O)O)[C@@H]2CCOC(=O)C3=C(NC(=O)O1)[C@H](C(=O)O[C@@]1(C)COC(=O)N(C2)C1=O)n1cnnc13,6b5g
6b7a_decoy_1,CC1=Cn2c(CO)cnc2C1,6b7a
6b7a_decoy_10,COC(=O)CSC(=S)NC(=O)CSc1n[nH]c(=O)[nH]1,6b7a
6b7a_decoy_2,O=C1CC(C2=CCC=C2)=NN1,6b7a
6b7a_decoy_3,O=c1[nH]c(=S)[nH]cc1-c1nc(CNS(=O)(=O)O)cs1,6b7a
6b7a_decoy_4,O=C(NNc1nnc(S)s1)c1ccc(C(=O)SO)o1,6b7a
6b7a_decoy_5,Nc1nc(=O)c(=O)[nH]n1C(=S)SCC(=O)OCCS,6b7a
6b7a_decoy_6,CONC(=O)NNC(=O)CSC=C1NC(=O)CS1,6b7a
6b7a_decoy_7,O=C(NNC1=NNCS1)c1ccc(CS(=O)(=O)O)s1,6b7a
6b7a_decoy_8,O=[SH](=O)c1cc(NS(=O)(=O)Nc2nccs2)ccn1,6b7a
6b7a_decoy_9,Cc1ncc(CNS(=O)(=O)C2=CNS(=O)(=O)C2=N)s1,6b7a
6b7b_decoy_1,C=C(Cl)C1=CC=[NH+]CN[C@H]1c1ccnc(NC2(C(=O)OC)CCCC2)c1,6b7b
6b7b_decoy_10,C[NH+](C)CC(=O)CNc1cnc2c(C3=CC=C(N)CO3)cc(Cl)cc2c1,6b7b
6b7b_decoy_2,C[C@H](OCc1ccc(Cl)c(C[NH3+])c1)C(=O)N1CCCc2cnc(N)cc21,6b7b
6b7b_decoy_3,[NH3+]C1=CC(=O)N[C@@H](C(=O)NCCCN2CC(Cl)=Cc3ccccc3C2)C1,6b7b
6b7b_decoy_4,CN[C@@H](c1cc[nH+]cc1Cl)c1c(N)nc2ccc(OC)c(OC)c2c1C,6b7b
6b7b_decoy_5,CNC(=O)CCN1C(=O)[C@@H](Cc2cc[nH+]c(C3=CCC=C3)c2)NC=C1Cl,6b7b
6b7b_decoy_6,COc1ccc(CCl)cc1NC(=O)Cc1ccc2c(c1)NC(=O)C[C@@H]2[NH3+],6b7b
6b7b_decoy_7,CC(=O)c1ccc(NC(=O)CNc2ccc3c(c2)NC[C@H]([NH3+])C3)c(Cl)c1,6b7b
6b7b_decoy_8,C[NH2+]C[C@H]1Cc2cc(CNC(=O)Nc3cccc(Cl)c3)ccc2NC1=O,6b7b
6b7b_decoy_9,CC(=O)N[C@H](CNC(=O)Nc1ccc2c(c1)C[NH2+]C2)c1cccc(Cl)c1,6b7b
6b96_decoy_1,Cc1cc(C=CCCC2=CCOC=C2)cc(C(=O)NCCO)c1,6b96
6b96_decoy_10,C=CC(=CC)Oc1cccc(COC(=O)c2cccc(N)c2)c1,6b96
6b96_decoy_2,C=C1OC=CC=C1NC(=O)CCCCc1cc(C)c(O)c(C)c1,6b96
6b96_decoy_3,CCCc1cc(COC(=O)c2ccc(N)cc2)ccc1OCC,6b96
6b96_decoy_4,C=C(O)C=C(C)C=C(C)C(=CNc1ccccc1)C(=O)OCC,6b96
6b96_decoy_5,COC(=O)c1ccc(O)c(CCNc2cc(C)c(C)cc2C)c1,6b96
6b96_decoy_6,CCC=CC=C(COC)C(=O)c1c[nH]c2ccc(C)cc2c1=O,6b96
6b96_decoy_7,COc1cc(COc2ccc(C=CCCN)c(O)c2)ccc1C,6b96
6b96_decoy_8,CCC(C)=CCCOc1ccc(O[C@@H]2CCCC[C@@H]2N)cc1,6b96
6b96_decoy_9,Cc1ccc(C)c(OCCOCc2ccc(C(N)=O)cc2)c1C,6b96
6b97_decoy_1,CCNc1cncc(CO)n1,6b97
6b97_decoy_10,CCNC(=O)C1=C(O)c2noc(NC(=O)c3ccc(C[NH3+])cc3)c2[C@@H]1c1cc(O)cc(F)c1C,6b97
6b97_decoy_2,CC=C1CN=CN1CC(N)=O,6b97
6b97_decoy_3,N=C(N=CCO)N1CCCC1,6b97
6b97_decoy_4,CC1(C)CC2=C(C[NH2+]CO2)[C@](CC(=O)NCC(N)=O)(Cc2cc(F)cc3c2O[C@@H](C(=N)O)C3)C1,6b97
6b97_decoy_5,CC1=C(F)[C@@H]([NH3+])C=C1OC(=O)c1c(C)[nH]c(C(=O)NCc2ccc(OCC=CN)c(O)c2)c1C,6b97
6b97_decoy_6,Nc1ccc(NC(=O)COC(=CC(=O)C[NH3+])C(=O)NC(=O)C2=CC3=CCC=CC3=C2CF)cc1,6b97
6b97_decoy_7,NC(=O)c1cocc1C(=O)Oc1cc(F)c(N)cc1C(=O)Nc1ccc(CC2=C[NH2+]C=C2)cc1,6b97
6b97_decoy_8,C[C@@H]([NH3+])Cc1ccc(NC(=O)C(=CC=C2OC=Cc3cc(NC(N)=O)ccc32)C(=O)O)cc1F,6b97
6b97_decoy_9,COc1ccc([C@@H]([NH3+])C(=O)Nc2ccc(F)cc2C(=O)Nc2ccc(N)c3c2OCC3)c(O)c1,6b97
6b98_decoy_1,N=c1[nH]c2ccccc2s1,6b98
6b98_decoy_10,OC=C1OC[C@H](OC[C@H](O)[C@H]2O[C@H](O)CO[C@@H]2CO)[C@H]1O,6b98
6b98_decoy_2,Nc1ccc2c(c1)SCN2,6b98
6b98_decoy_3,Nc1nccc2sccc12,6b98
6b98_decoy_4,Nc1ccc2ncsc2c1,6b98
6b98_decoy_5,Nc1nccc2ccsc12,6b98
6b98_decoy_6,Nc1ccc2scnc2c1,6b98
6b98_decoy_7,c1csc(-c2ncc[nH]2)c1,6b98
6b98_decoy_8,c1csc(-c2c[nH]cn2)c1,6b98
6b98_decoy_9,Cc1n[nH]c2c1CCC2,6b98
6b9p_decoy_1,CC1(C)CCCc2c1c(=O)oc1cc(O)c(O)cc21,6b9p
6b9p_decoy_10,O=CC=CC1=CC(=Cc2cc3c(o2)CCC3)C(=O)O1,6b9p
6b9p_decoy_2,COC(=O)c1c(O)ccc2c1C1=C(CC2)COC=C1,6b9p
6b9p_decoy_3,Oc1ccc(Oc2ccc3c(c2)COCC3)cc1O,6b9p
6b9p_decoy_4,COc1ccc(-c2ccc3c(c2)OCO3)cc1O,6b9p
6b9p_decoy_5,Cc1cccc2c(=O)oc3cc(CO)c(O)cc3c12,6b9p
6b9p_decoy_6,COc1cc2c(cc1O)c(=O)oc1ccccc12,6b9p
6b9p_decoy_7,O=C(C=C1COc2ccccc2O1)C1=CCOC=C1,6b9p
6b9p_decoy_8,COc1cc2c(cc1O)Cc1cc(C=O)ccc1O2,6b9p
6b9p_decoy_9,CC(C)=C(C)c1ccc(C2=CC=C(O)C(=O)OC2)o1,6b9p
6bbx_decoy_1,CCC[C@@H](NCc1cccc[nH+]1)c1cccc(Cn2cccc2NC(=O)c2ccc(C(=O)[NH2+]CC3CC3)cc2)c1,6bbx
6bbx_decoy_10,CCOC(=O)C1=C(C)N[C@H]2CSC3=C(C2=C1)N([C@@H]1CCC(=O)C1)C(=O)C[C@@H]3Nc1c(C)c(CC)c(C)c(C)c1CO,6bbx
6bbx_decoy_2,Cc1ccc(CNC(=O)c2c(N3CCN(C(=O)c4cccc[nH+]4)C[C@@H]3CC(C)C)ccc3ccccc23)cc1C[NH3+],6bbx
6bbx_decoy_3,CCN(CC1=C[NH2+]C=C1)c1ccccc1NC(=O)c1ccc(NC(=O)c2ccccc2C[N@@H+]2CCCC[C@H]2C)cc1,6bbx
6bbx_decoy_4,CC[C@@H](CC#Cc1cccc(NC(=O)c2ccc(C(=O)Nc3ccccc3N(C)C)cc2)c1)[NH2+]Cc1cc[nH+]cc1,6bbx
6bbx_decoy_5,Cc1ccccc1NC(=O)C[N@@H+](C)[C@@H](Cc1ccc(-n2cccc2)cc1)c1ccc(C(=O)Nc2cc[nH+]cc2)cc1,6bbx
6bbx_decoy_6,Cc1cc[nH]c1C(=O)Nc1ccc(C(=O)Nc2ccc([C@H]([NH2+]CC[N@H+]3CC=CCCC3)c3ccccc3)cc2)cc1,6bbx
6bbx_decoy_7,C[NH2+]Cc1ccccc1NC(=O)[C@]1(NCc2cc3cc(C)ncc3o2)CC[N@H+](Cc2ccc3ccccc3c2)CC1,6bbx
6bbx_decoy_8,CCCCN(C(=O)c1ccccc1[C@H](Nc1ccc2c(c1)C[NH2+]C2)C(=O)N1CCC[C@H](CC[NH3+])C1)c1ccccc1,6bbx
6bbx_decoy_9,C=CC[NH2+]CCCC(=O)Nc1ccccc1C(=O)Nc1ccccc1N(Cc1cccc[nH+]1)C1=CC=CCC=C1C,6bbx
6bdy_decoy_1,CCON=C(C)C[C@@H]([NH2+]C)[C@@H]1CNCCO1,6bdy
6bdy_decoy_10,Cc1ccc(C(=O)OC2=CC(=CC3=CCC=C3)NC2=O)c(C)c1,6bdy
6bdy_decoy_2,C=C([NH3+])NCCNc1ccc(OC)c(OC)c1,6bdy
6bdy_decoy_3,C=CCOC1=C2CCCC2=CN2C(=C1)CC(=O)C(C(C)=O)=C2C,6bdy
6bdy_decoy_4,COC1=CC=CC=CC=C2C(=CC=C1OC)C(=O)N1CCC=C21,6bdy
6bdy_decoy_5,CCc1[nH]c2c(c(=O)c1C(=O)OC1=CCC=C1)=CC=CC=CC=2,6bdy
6bdy_decoy_6,Cc1cc(O)c(C)c(OCC(=O)N2CC(C)(C)C3=CCC=C32)c1,6bdy
6bdy_decoy_7,CC1=CCNc2ccc(COC(=O)c3ccc(C=O)cc3)cc21,6bdy
6bdy_decoy_8,CCC=CC1=COC(N)=C2C(=O)C(=Cc3ccoc3)CC=C12,6bdy
6bdy_decoy_9,C=C1C(C)=C[C@H](COc2cccc3ccc(=O)oc23)NC1=CC,6bdy
6bgc_decoy_1,OC(O)(O)C[C@@]1(O)CCOC1,6bgc
6bgc_decoy_10,[NH3+]C[C@@H]1C(=O)C2=C(NNC(=O)N2)N[C@H]1C[C@@H]1CCCS1,6bgc
6bgc_decoy_2,OC[C@@H](O)C[C@]1(O)COCO1,6bgc
6bgc_decoy_3,OC(O)C[C@]1(O)COCCO1,6bgc
6bgc_decoy_4,CC(C)(O)[C@@H](O)O[C@@H](O)C(=O)O,6bgc
6bgc_decoy_5,COC[C@H]1OC[C@@H](C(O)O)O1,6bgc
6bgc_decoy_6,C[C@@](CO)(OCO)[C@H](O)CO,6bgc
6bgc_decoy_7,CC(CO)(CO)[C@@H](O)C(O)O,6bgc
6bgc_decoy_8,COC[C@@H](O)O[C@H](CO)C(O)O,6bgc
6bgc_decoy_9,COC[C@](O)(CO)[C@@H](O)OC,6bgc
6bhv_decoy_1,O=C1N[C@@H](COC(=O)[C@@H](OC(=O)NO)OC(=O)NP(O)O)C(=O)N(CP2OCP(O)O2)N1,6bhv
6bhv_decoy_10,O=C(NP(O)O)c1nc(=NOP(O)O)on1C(=O)O[C@@H]1C(=O)NCC[C@H]1OCP(O)O,6bhv
6bhv_decoy_2,N=C1N([C@@H](COP(O)OP(O)O)NP=O)C(=O)NC(=O)[C@]2(C(=O)OC(=O)O)OCCN12,6bhv
6bhv_decoy_3,O=C(COC(=O)[C@@H]1N=N[C@@](C(=O)O)([C@@H](O)c2noc(OOP(O)PO)n2)O1)NCP(O)O,6bhv
6bhv_decoy_4,N=C1[C@@H](OP(O)O)C(=O)N(C(=O)OCC[C@@]2(O)COP(O)N(OO)C2)C(=N)N1P(O)O,6bhv
6bhv_decoy_5,N=C(NP(O)O)[C@H](Oc1nc(=O)oc2oc([C@@H]3OOP(O)O3)nc12)C(=O)NCOP=O,6bhv
6bhv_decoy_6,NOOC(=O)P(O)OP(O)CCNC(=O)N1C(NP=O)=N[C@]2(OC(=O)O)COC(=O)[C@H]12,6bhv
6bhv_decoy_7,NOP(O)P(O)CCO[C@@]12CN(C(=O)OC(N)=O)C(=O)NC1=NC(=O)[C@@H](OP(O)O)O2,6bhv
6bhv_decoy_8,O=POC[C@@]1(P=O)NC(=NC2=NC(=C(COC(=O)OO)C(=O)NOP(O)O)ON2)C(=O)O1,6bhv
6bhv_decoy_9,O=C(NCC(=O)OC(=O)NP(O)O)Nc1noc2c1OC(=O)[C@H]2NCP(O)OP(O)O,6bhv
6bjo_decoy_1,CC[C@@H](NC(=O)c1c(C)oc(C)c1OC1CCCC1)[C@H](N)[C@H]1NC(=O)C(=Cc2cc(C)c(C#N)c(=O)n2C)S1,6bjo
6bjo_decoy_10,CSC(=Cc1nc(C(C)(C)C)[nH]c1C)C(=O)N[C@@H]1CCCN([C@H](C)C(=O)N2C[C@H]3CC=C3C2=CCO)C1=O,6bjo
6bjo_decoy_2,C=CC(=CC)c1ccc([C@@H](CC(=O)N[C@@H]2NC(=O)c3[nH]c(=O)[nH]c(=O)c32)CC(=O)N2CCS[C@H](C)[C@H]2C)cc1,6bjo
6bjo_decoy_3,CC=C[C@H]1CNC(=O)[C@H](c2ccc(CCNS(=O)(=O)N3CCO[C@H](C(=O)Nc4cccc(C)c4C)C3)cc2)N1,6bjo
6bjo_decoy_4,C[C@H]1CCC[C@@H](c2cc(CN(C)c3cc(C(=O)N4CC[C@@](CC(=O)OCC(N)=O)(C(N)=O)C4)ccn3)cs2)C1,6bjo
6bjo_decoy_5,COc1ccc(CCN(C(=O)c2c[nH]nc2C(C)(C)C)c2ccc([C@@H](O)[C@H]3NCCS(=O)(=O)N3)cc2)c(C)c1,6bjo
6bjo_decoy_6,CCC1CCN(C(=O)CC[C@@H]2CC=CCC[C@@H]2NC(=O)NCCN2C=CC(=CC=C(O)C(N)=O)OC2=S)CC1,6bjo
6bjo_decoy_7,CN(C(=O)[C@@H](NC(=O)N[C@H]1CCCNC1=O)c1ccc2c(c1)CC(C)(C)O2)c1ccc(CNC(=O)CS)cc1,6bjo
6bjo_decoy_8,CC(C)CCNC(=O)N1CC[C@H]2CN(C(=O)c3cccc(SCC=Cc4c[nH]c(=O)[nH]c4=O)c3)CC[C@@]2(O)C1,6bjo
6bjo_decoy_9,COc1ccc(NCC(=O)N2CCN(Cc3nc4c(s3)C[C@@H](C)CC4)C[C@H]2C(N)=O)cc1C(=O)OC(C)C,6bjo
6bld_decoy_1,C=C1NC=CC=C1N1C[C@H](C(=O)n2ncc3ncccc32)CC1=O,6bld
6bld_decoy_10,C[C@@H](COc1ccc2c(c1O)c(=O)oc1c3c(ccc12)OCO3)[N+](=O)[O-],6bld
6bld_decoy_2,O=C1C=C(CN2C=CCC(c3nc(=O)[nH]c4ccccc34)=C2)N=N1,6bld
6bld_decoy_3,O=C(Nc1ccc(C2=CCN=C2)nc1)N1CCOc2cccnc21,6bld
6bld_decoy_4,Cc1ccc(-c2cc(C(=O)N3CCN(C)c4cnccc43)[nH]n2)o1,6bld
6bld_decoy_5,N#Cc1cc(Oc2cc3n(n2)CCNC3=O)ccc1-n1cccc1,6bld
6bld_decoy_6,Cc1nc2c(C(=O)N=Cc3ccc(C#N)o3)cnn2c2c1CCC2,6bld
6bld_decoy_7,Cc1cc(-c2nc(N3CCOCC3)nc3c2NN=CC3)ccc1O,6bld
6bld_decoy_8,O=C(c1c[nH]nc1-c1ccncc1)N1CCOc2cnccc2C1,6bld
6bld_decoy_9,CCOc1c2c(c3c(c1[N+](=O)[O-])[C@@H](O)CCO3)Oc1cc(O)ccc1O2,6bld
6bm6_decoy_1,C[C@@H](O)c1ccc(NNC(=O)C(=O)N[C@H]2C[C@@H]2[S@@](=O)[C@H](CN)CO)[nH+]n1,6bm6
6bm6_decoy_10,C[C@@H]1OC[C@H]2CC3=CCC=C3CC3(CCCC3)[C@@]2(O)[C@@H]1C,6bm6
6bm6_decoy_2,COCC(=O)NC1=C([NH3+])C[C@@]2(NC(=O)[C@](C)(CC(=O)NCN)NC2=O)S1,6bm6
6bm6_decoy_3,C[C@@]1(C(N)=O)CC[C@@H](NC(=O)NC(=CC(N)=O)C2=C[S@@](=O)C(=O)N2)C[NH2+]1,6bm6
6bm6_decoy_4,C[C@@]1(C(N)=O)NC(=O)CO[C@H]1c1ccc(NC(=O)N[C@H]2C[NH2+]C(=O)N2)s1,6bm6
6bm6_decoy_5,C[C@@H](SCCN1C(=O)[C@H](NC(N)=O)C[C@H]2OC(=O)NC(C[NH3+])=C21)C(N)=O,6bm6
6bm6_decoy_6,NC(=O)CNC(=O)NC(=O)NC(=CC1=CCC[NH2+][S@]1=O)C(=O)NC1CC1,6bm6
6bm6_decoy_7,C[C@]1(C[C@@H](CO)COC(=N)N)[NH2+]Nc2c(sc3c(=O)[nH]c(=O)[nH]c23)[C@H]1O,6bm6
6bm6_decoy_8,CC1(C)OCO[C@@]1(C[NH3+])c1nc([C@H](O)CSCC(N)=O)n(CC(N)=O)n1,6bm6
6bm6_decoy_9,NC(=O)[C@H](NC(=O)NC(=O)N1CCO[C@H](C[NH3+])CC1)[C@H](N)C1=COCS1,6bm6
6bs3_decoy_1,O=CN[C@@H](CO)C(=O)N(CC(=O)Nc1cccc(O)c1)C(=O)c1ccoc1,6bs3
6bs3_decoy_10,C[C@@H](CNCCOO)OCCC(=O)OC1=COC(c2ccc(O)cc2)=NN1,6bs3
6bs3_decoy_2,COC(=O)C1=CC(OO)=CC=CC(=CCO)NC([C@H](N)C(=O)OC)=NC=C1,6bs3
6bs3_decoy_3,CNC(=O)CCCN(C(=O)NC(=O)C1=CC=COC1=COO)c1ccco1,6bs3
6bs3_decoy_4,O=COCCCN1C(=O)NCCOCCC=c2onc1c2=CC(=CO)CO,6bs3
6bs3_decoy_5,COC(=O)COC(=O)Nc1[nH]cnc1COC(=O)C1=CC=CCC(=O)C=C1,6bs3
6bs3_decoy_6,C=C(C=CO)C(=O)OC(C=NCC(=O)O)=CC=C(NC(N)=O)c1ccco1,6bs3
6bs3_decoy_7,COCCNC(=O)C1=C(NC(=O)c2ccc(OO)cc2)c2cc[nH]c2OO1,6bs3
6bs3_decoy_8,COC(=O)C(=C(NC=NC(=O)c1ccoc(=O)c1)OC)c1ccc[nH]c1=O,6bs3
6bs3_decoy_9,C[C@@H](COC(=O)O)C(=O)OCCOC=Nc1c[nH]c(=O)n1-c1ccccc1,6bs3
6c0s_decoy_1,Cc1cc2c(cc1O)C[C@H](CN(C)C(=O)COc1cc(C[NH2+]Cc3cc[nH]c(=O)c3C(F)F)ccc1Oc1ccc(C#N)cc1)O2,6c0s
6c0s_decoy_10,O=C1COC(=O)[C@](O)(OCCO[C@@H]2C[C@](O)([C@@H](O)CO)CC[C@@H]2O)[C@]2(CO[C@@H](C(=O)O)[C@@H](O)[C@H](O)CO1)CC(=O)O[C@H](O)C2,6c0s
6c0s_decoy_2,C[C@H](CN1C(=O)c2cn3ccccc3c2C1=O)[N@H+](CC=O)CC(=O)Nc1cccc(C(=O)OCc2ccc(F)c(C3CC3)c2F)c1,6c0s
6c0s_decoy_3,COc1ccc(N[C@H](C)C(=O)C(=O)Nc2cc(C)c3c(c2)C(=O)CC3)c(C[N@H+](C)CC(=O)N2CCOc3cc(C(F)F)ccc32)c1,6c0s
6c0s_decoy_4,C=C1C=C(C(=O)N=C(CC[N@H+](CC(=O)Nc2cccc(C(=O)OC)c2)Cc2ccc(C)o2)N2CCCC2)c2oc(C)cc2C1(F)F,6c0s
6c0s_decoy_5,CCOC(=O)c1ccc2c3c(n(C(=O)C(F)F)c2c1)CC[C@@H]([NH2+]CC(=O)Nc1ccc2oc(CC)c(CCN(C)C(C)=O)c2c1)C3,6c0s
6c0s_decoy_6,CCCC1=[NH+]C[C@@](Nc2cccc(C)c2)(c2cc(OC(F)F)cc(OC)c2C(=O)N(CCCC(C)=O)c2ccc3c(c2)OCO3)N1,6c0s
6c0s_decoy_7,C[NH2+]CCN1CCCN(C(=O)C=C(OCCC(=O)N2CCCC[C@@H]2C2=CC(=C(F)CO)Oc3cccc(F)c32)c2ccco2)CC1,6c0s
6c0s_decoy_8,O=C(C=Cc1cccc(F)c1)OCCOc1ccc([C@@]2(O)CCCN(C(=O)[C@@H]3CN(C=CC=Cc4c[nH][nH+]c4)CCO3)C2)c(F)c1,6c0s
6c0s_decoy_9,COc1c(OCc2[nH+]cccc2CCN(C)C(=O)[C@H]2CN(c3cc(C)c(C)cc3F)CCO2)cc(F)c2c1C(=O)NC(=CC=O)C2,6c0s
6c0t_decoy_1,COc1c(OC[C@H](O)C[NH2+][C@@H]2CCOC2)ccc2c1Oc1ccc(C)cc1[C@H]2CC(=O)[C@H](C)SC1=NC(=O)CS1,6c0t
6c0t_decoy_10,CCOc1ccc(SN)cc1NC(=O)CN(C(=O)[C@@H]1CC[C@@H](CS(=O)(=O)[C@H]2CCCCO2)O1)[C@@H](C)c1ccccc1,6c0t
6c0t_decoy_2,C[C@@H](CC(=O)OCC1=C[C@H](O)SC=C1)N(C(=O)CCNC(=O)C[C@H](c1ccc2c(c1)OCO2)c1nccs1)C1CC1,6c0t
6c0t_decoy_3,COCC(=O)NC[C@]1(C)C[C@@H](CC(=O)Oc2cccc(O)c2)C[C@]2(C1)NC(=S)SC2=Nc1cc(OC)ccc1OC,6c0t
6c0t_decoy_4,COc1ccc(COC(=O)c2ccc(OC[C@H]3SCCC[C@H]3NC(=O)N[C@H]3CCO[C@@H]3CN(C)C(=O)S)cc2)cc1,6c0t
6c0t_decoy_5,C[C@@H]1SCC[C@H](C(=O)[C@@H](C)N(C)C(=O)c2c[nH]c3cc(S(=O)(=O)N(C)[C@H](C)C(=O)O)ccc3c2=O)[C@@H]1C1=CCC=C1,6c0t
6c0t_decoy_6,COc1ccccc1NC(=O)CN(C[C@@H]1CCCO1)C(=O)c1cc(SC[C@@H](C)CO)c(C(=O)N2CCO[C@H](C)C2)s1,6c0t
6c0t_decoy_7,C=C1C(C(=O)Nc2ccc(CN(C[C@H]3CS(=O)(=O)CCO3)c3ccc(C)cc3)cc2[C@H](C)NC(=O)CC)=CO[S@@]1=O,6c0t
6c0t_decoy_8,COc1ccc2c(c1)S[C@H](C(=O)OC[C@H](CC(=O)N(C)C(C)=O)Nc1ccc(C(=O)N[C@@H]3CSC[C@H]3CO)cc1)C2,6c0t
6c0t_decoy_9,COS(=O)(=O)c1cc(C(=O)N[C@@H](C)c2cccc(C#N)c2)ccc1NC(=O)[C@H]1CSC[C@@H]1OC(=O)[C@H]1[C@H](C)C1(C)C,6c0t
6c1s_decoy_1,CC(=O)C=Cc1[nH]c(=O)c(C2=CCOC(F)=C2N)nc1C,6c1s
6c1s_decoy_10,O=C1COc2ccc(NCc3ccc[nH]3)cc2C(=O)N1,6c1s
6c1s_decoy_2,Cc1c(CF)c[nH]c1C(=O)Nc1ccc2[nH]c(=O)oc2c1,6c1s
6c1s_decoy_3,O=c1[nH]c(C2=CCC(F)=C2)nn1Cc1ccc(O)c(O)c1,6c1s
6c1s_decoy_4,O=c1[nH]n(-c2ccncc2)c(O)c1C=C(F)c1ccoc1,6c1s
6c1s_decoy_5,O=C(NCc1ccc(F)cn1)NC1=C2C(O)=CC=C2CO1,6c1s
6c1s_decoy_6,O=C(Nc1cc(F)cc2c1OCCNC2=O)c1cc[nH]c1,6c1s
6c1s_decoy_7,Cn1[nH]c(=O)nc1-c1ccc(OC2=CCC=C2F)c(O)c1,6c1s
6c1s_decoy_8,O=C(Nc1cncc(F)c1)c1cc2cc(O)c(O)cc2[nH]1,6c1s
6c1s_decoy_9,CC(=O)C(=O)c1oc(-c2n[nH]c3ccc(F)cc23)cc1N,6c1s
6c6o_decoy_1,C[C@](OCCOC[C@@H](CC(N)=O)[NH2+]CO)(C(=N)O)C(N)=O,6c6o
6c6o_decoy_10,C[C@@H](O)OC[C@@H](COCCO)OC[C@](O)(CO)[C@@H](N)O,6c6o
6c6o_decoy_2,COC(=CO)[C@@](O)(C[NH3+])C(=O)NNC(=O)NCCOC=O,6c6o
6c6o_decoy_3,COCC(O)=CC(=O)NNC(=O)[C@H](OC(N)=[NH2+])[C@@H](O)CO,6c6o
6c6o_decoy_4,N[C@@H](OCOO)[C@@]1(CO)CC[C@](CO)([C@H](O)CO)[C@H]1O,6c6o
6c6o_decoy_5,O=C(CO)N[C@@H](O)[C@@H](O)CO[C@@H](O)[C@H](O)C[C@H](O)CCO,6c6o
6c6o_decoy_6,N#C[C@@](CO)(CC(O)O)[C@@H](O)[C@H](O)OCC(O)(CO)CO,6c6o
6c6o_decoy_7,OC[C@H](O)COCCO[C@H](O)[C@@H](O)[C@H](CO)[C@H](O)CO,6c6o
6c6o_decoy_8,NC(=O)[C@H]1[C@@H](CO[C@H](COO)[C@H](O)CO)OC[C@@]1(O)CO,6c6o
6c6o_decoy_9,COC[C@](C)([C@H](O)CO[C@H](O)C(N)=O)[C@@H](O)[C@@H](O)CO,6c6o
6c7d_decoy_1,Cc1ccc(C(=O)N[C@@H]2Nn3c(C=CC=CC(F)(F)F)nnc3-c3cc4c(cc32)CCCC4)nc1,6c7d
6c7d_decoy_10,O=CCOc1cc2c(cc1OC1=C[C@@H](Cl)SC=C1)CCN(C(=O)C=C(F)c1csc(=S)[nH]c1=O)C2,6c7d
6c7d_decoy_2,FC=C1CCC2=CNC(Nc3nc(CN4CCN(Cc5cccc(F)c5)CC4)no3)=C[C@@H]2C=C1F,6c7d
6c7d_decoy_3,CC[C@@H]1CN=C(c2ccc(CN3CC(=O)Nc4cn(-c5ccc(C(F)(F)F)cc5)nc43)cc2)NC1,6c7d
6c7d_decoy_4,O=C(Cn1cc2c(n1)CCC2=CC(F)=C(F)F)Nc1ccc2c(c1)CNN2CN1CCCCCC1,6c7d
6c7d_decoy_5,CC(F)(F)c1cncc(CN(Cc2cn[nH]c2CO)[C@H]2CCc3cc4c(nc3C2)CC[C@H](F)C4)n1,6c7d
6c7d_decoy_6,C=c1c(Cl)c2sc(=O)c3sc(=NC(=O)c4sc(C(=O)OCOC)cc4CC)[nH]c3c2cc1=CCF,6c7d
6c7d_decoy_7,CCc1c(CNC(=O)OCc2sc3c(c2[C@H](F)Cl)=CCC=3)sc(S(=O)(=O)N2C(=O)CC[C@H]2C)c1C,6c7d
6c7d_decoy_8,COc1cc(F)cc(-c2sc(NC(=O)[C@@H](C)OC(=O)Cl)c3c(=O)n4c(c(=CCS)c23)=CSCC4)c1,6c7d
6c7d_decoy_9,CCS(=O)(=O)Cc1cc2cc3c(cc2c(F)c1Cl)S[C@@H](CC(=O)NCc1nc(C)c(C)s1)C(=O)O3,6c7d
6c7q_decoy_1,O=C(NCc1ccncc1CC(=O)N1CCO[C@H](c2nccc(C3=CCSC(Cl)=C3)n2)C1)C1CC1,6c7q
6c7q_decoy_10,CCC=c1cc(N(C(=O)CNC(=O)c2ccc3n2C(=O)NC3=O)[C@H](C)CCF)cc2c1=CC(C)=C2,6c7q
6c7q_decoy_2,CSC[C@@]1(C)CN(C(=O)N2CCC(C(=O)Nc3ccc4c(cnn5cc(Cl)cc45)c3)CC2)CCO1,6c7q
6c7q_decoy_3,CC(C)c1ccnc(SCC(=O)N(c2ccc3c(c2)NCO3)[C@@H]2CC(=O)Nc3ccc(Cl)cc32)n1,6c7q
6c7q_decoy_4,O=C(Nc1cccc2cc3c(C=CN4C[C@H](OCCF)C(=O)N4)c[nH]c(=O)c3cc12)C1CC=CC1,6c7q
6c7q_decoy_5,CC=CCN[C@H]1C=C(C2=C(c3c[nH]c4cc(F)ccc34)C(=O)N(C[C@H]3CCCO3)C2=O)CC(=O)N1,6c7q
6c7q_decoy_6,CCc1cc([C@@H](c2ccc(F)cc2O)c2c(C[C@@H](C)NC3CC3)[nH]c(=O)n(CC3CC3)c2=O)on1,6c7q
