PDBCode,RDKitCanonSmile
1zfq,[H]Oc1ccc2c(c1)SC(S(=O)(=O)N([H])[H])N2[H]
3gnw,[H]Oc1cccc2c1N([H])C1=C(C(c3ccc(OCc4ccccc4)cc3F)N2C(=O)C2C=CC=C(C)N2[H])S(=O)(=O)CC(C)(C)C1
3i7s,[H]OC(C)C(=O)O
3g0e,[H]N([H])C(=O)c1c(C)c(C=C2C(=O)N([H])c3ccc(F)cc32)n([H])c1C
2qi1,[H]Oc1ccc(C(=O)N([H])C(Cc2ccccc2)C(CN(Cc2cccs2)S(=O)(=O)c2cccc(OC)c2)O[H])cc1O[H]
4az5,[H]OCC1OC2SC(C)[N+]([H])([H])C2C(O[H])C1O[H]
3s0e,[H]Oc1ccc(CC=C)cc1OC
4aoi,[H]N1C=CC=C2C(CC3N([H])N([H])C4N([H])C=C(c5ccc(C#N)cc5)N([H])N34)=CN([H])C21
6c0t,[H]N1CC(N([H])C(=O)C2=CC3=CN([H])N([H])C3C=C2)C(N([H])C(=O)c2ccc(C(=O)c3c(OCCC)ccc(OC)c3F)cc2)C1
2vpo,[H]OC1CN([H])C(C)N([H])C1C(=O)O
4ad2,[H]OCC1OC(OC2CN(~[HH])(~[HH])CC(CO~[HH])C2O~[HH])C(O[H])C(O[H])C1O[H]
1djx,[H]OC1C(O[H])C(OP(=O)(O)O)C(OP(=O)(O)O)C(O[H])C1OP(=O)(O)O
5jhb,[H]OCC1(CCl)CN(C2N([H])C(C3=CN([H])C(N([H])[H])C=C3C(F)(F)F)N([H])C(N3CCOCC3)N2[H])C1
3ok9,[H]OC(CN(CC(C)C)S(=O)(=O)c1ccc(OC)cc1)C(Cc1ccccc1)N([H])C(=O)OC1COC2OC3OCCC3C12
2o0u,[H]N(C(=O)c1cccc2ccccc12)c1sc2c(c1C#N)CCN(C(=O)CC[N+]1([H])CCCCC1)C2
5zc5,[H]N([H])C1=C(C(=O)N([H])C(N([H])[H])=[N+]([H])[H])N([H])C(c2cc3c(F)cccc3o2)=C(N2CCCCCC2)N1[H]
1w6o,[H]OCC1OC(OC2C(CO[H])OC(O[H])C(O[H])C2O[H])C(O[H])C(O[H])C1O[H]
5ma7,[H]N(CP(=O)(O)N([H])C(C[N+]([H])([H])[H])C(=O)N([H])C(CC(C)C)C(=O)O)C(=O)OCc1ccccc1
4arw,[H]N([H])c1c(N(C)S(=O)(=O)c2ccccc2)c(=O)n([H])c(=O)n1CCCC
2x09,[H]OC1CC[N+]2([H])C(C[N+]([H])([H])[H])C(O[H])C(O[H])C12
6qxg,[H]OC1CC(n2cc(F)c(=O)n([H])c2=O)OC1COP(=O)(O)O
1ttm,[H]N([H])S(O)(O)Oc1ccc2c3c(c(=O)oc2c1)CCCCC3
2cir,[H]OC1OC(COP(=O)(O)O)C(O[H])C(O[H])C1O[H]
3gst,[H]OC1c2ccccc2-c2ccccc2C1SCC(C(=O)N([H])CC(=O)O)N([H])C(=O)CCC(C(=O)O)[N+]([H])([H])[H]
5ehr,[H]N([H])C1=C(c2cccc(Cl)c2Cl)N([H])C=C(N2CCC(C)([N+]([H])([H])[H])CC2)N1[H]
2wnj,[H]N1C=CC=C(C2C(=Cc3ccc(OC)cc3OC)CCCN2[H])C1
3buh,[H]Oc1ccc(CC[N+]([H])([H])[H])cc1C1CCCCC1
1ew9,[H]SCP(=O)(O)O
1jcx,[H]OC(COP(=O)(O)O)C(O[H])C(O[H])C(C[N+]([H])(CC(=O)O)CP(=O)(O)O)O[H]
1v2t,[H]N([H])C(c1cccc(CC(C(=O)OC)N([H])C(=O)CN([H])S(=O)(=O)c2ccc(C)cc2)c1)=[N+]([H])[H]
2v2c,O=C(O)COP(=O)(O)O
5j7w,[H]OC(c1ccc(N(C)CC2=CN([H])C3=C(C(N([H])[H])N([H])C(N([H])[H])N3[H])N2[H])cc1)N([H])C(CCC(=O)O)C(=O)O
4kp7,[H]ON(C)C(=O)CSC(c1ccccc1)P(=O)(O)O
4ajl,[H]N(CC)C(=O)N([H])CCC(=O)N([H])c1ccc2c(c1)SC(C)N2[H]
1xkk,[H]N1CN([H])C2C=CC(c3ccc(C[N+]([H])([H])CCS(C)(=O)=O)o3)=CC2=C1N([H])c1ccc(OCc2cccc(F)c2)c(Cl)c1
1gt4,CCCCCCCCCCC=O
3u6w,CC(C)C(=O)C(=O)O
5efh,[H]OC(CCCCC[N+]([H])([H])CCC[N+]([H])([H])[H])(O[H])C(F)(F)F
5mro,[H]N1CN([H])N2C(=O)C(Cc3ccccc3)=C(Cl)N([H])C12
5f1r,O=C(O)C1CSc2c(C3CC3)c(Cc3cccc4ccccc34)cc(=O)n21
2xbx,[H]N(C(=O)C1CN(S(C)(=O)=O)CC1C(=O)N([H])c1ccc(-n2ccccc2=O)cc1F)c1ccc(Cl)cc1
4hva,[H]OCC(Cc1cccc(C#N)c1)N([H])C(=O)c1coc(-c2ccc(OC)c(OC)c2)c1
4tu4,[H]N1OC(C)C(c2cc(C(=O)O)cc(N([H])S(=O)(=O)c3ccccc3)c2)=C1C
4djw,[H]N1C=CC=C(c2cccc(C3(c4ccccc4)C(=O)N(C)C(N([H])[H])N3[H])c2)C1
5ylt,[H]OC1C(CC(CCC(C(=O)O)[N+]([H])([H])[H])[N+]([H])([H])[H])OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
4ejn,[H]N([H])C1=C(C2N([H])C3=C(N([H])C(c4cccc(N([H])C(C)=O)c4)C=C3)N2c2ccc(CN([H])C(=O)c3cccc(F)c3)cc2)C=CCN1[H]
5eu1,[H]N1C=Cc2c(-c3cc(OC)c(C[N+]([H])(C)C)c(OC)c3)cn(C)c(=O)c2C1
5uf1,[H]OCC1OC(OC2C(CO[H])OC(O[H])C(N([H])C(C)=O)C2O[H])C(OC2OC(C)C(O[H])C(O[H])C2O[H])C(O[H])C1O[H]
4few,[H]N([H])C1C2=C(c3ccc(Cl)cc3)N([H])N(C(C)(C)C)C2N([H])CN1[H]
2xb7,[H]N1C=C(Cl)C(N([H])c2ccccc2S(=O)(=O)C(C)C)N([H])C1N([H])c1ccc(N2CCC([N+]3([H])CC[N+]([H])(C)CC3)CC2)cc1OC
5x62,[H]OC1C(CSCCC(C(=O)O)[N+]([H])([H])[H])OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
3udd,[H]N1OC(CSC2N(c3ccc(OC)cc3)C(C)N([H])N2[H])N([H])C1c1ccc(OC)cc1
4hla,[H]OC(CN(CC(C)C)S(=O)(=O)c1ccc(N([H])[H])cc1)C(Cc1ccccc1)N([H])C(=O)OC1COC2OCCC12
1ydd,[H]N(C(C)=O)C1SC(S(=O)(=O)N([H])[H])N([H])N1[H]
4e5w,[H]N1CN(C2CCN(C(=O)C3CCC[N+]3([H])C(C)C)CC2)C2=C1CN([H])c1c2ccn1[H]
4or6,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])C(N([H])[H])N([H])C3=O)C1O[H]
5ukl,[H]N(CCC1=CN([H])N([H])C1)C(=O)Cc1cc(C2CC[N+]([H])([H])CC2COc2ccc3c(c2)OCO3)ccc1F
5sz5,[H]N([H])S(=O)(=O)c1ccc(-c2ccccc2C)cc1
4ceb,[H]N(Cc1ccc(OC)cc1)C(=O)c1ccccc1C[N+]([H])(CC=C)Cc1ccc2c(c1C(=O)O)OCC(CCC(=O)O)O2
1fl3,[H]N(C(=O)CCCC(=O)O)c1ccc(C=Cc2ccccc2)cc1
3pp0,[H]OCCOCCn1ccc2c1C(N([H])C1=CN([H])C(Oc3cccc(C(F)(F)F)c3)C(Cl)=C1)N([H])CN2[H]
3isn,[H]N1C(C=C)=CC(N(C)C)N([H])C1S(C)(=O)=O
1n1m,[H][N+]([H])([H])[C@H](C(=O)n1cccc1)C(C)C
2ohv,[H][N+]([H])([H])C(CC(Cc1ccc2ccccc2c1)C(=O)O)C(=O)O
5j8u,[H]Oc1ccc(C2N(c3ccccc3F)C(=O)N([H])N2[H])c(O[H])c1
4ahs,O=C(O)c1cccc2ccoc12
2vwo,[H]N(C(=O)C[N+]1([H])CC(F)C(N([H])C(=O)c2ccc(Cl)s2)C1)c1ccc(-n2ccccc2=O)cc1F
5fl5,[H]N1NN(c2ccc(OC)cc2)C=C1c1ccc(S(=O)(=O)N([H])[H])s1
5fnr,[H]N1NN(C)c2ccc(C(CC(=O)O)c3ccc(Cl)cc3)cc21
5o1d,[H]Oc1c(C(=O)O)cc(OCCC)c(-n2cccc2)c1I
2rcn,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])C(N([H])[H])N([H])C3=O)C1O[H]
4jyc,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])C(N([H])[H])N([H])C3=O)C1O[H]
4r4c,[H]N(Cc1ccc(C2C=C(C(=O)O)N([H])N2c2ccc(Cl)c(Cl)c2)cc1)C(=O)c1ccc(-c2ccc(C(=O)O)o2)cc1Cl
2e22,[H]OCC1OC(O[H])C(O[H])C(O[H])C1O[H]
5ov8,[H]N(c1cc2c(cc1N1CCCC1)n(C)c(=O)c(=O)n2C)S(=O)(=O)c1ccc(CC(C)C)cc1
5gj9,[H]N1C=CN([H])C(C(=O)O)=C1
4hbm,[H]OCC(CC)N1C(=O)C(CC(=O)O)CC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1
2buv,[H]Oc1ccc(C(=O)O)cc1O[H]
5kab,[H]N1CCc2c(sc(N([H])C(=O)C(=O)O)c2C(=O)O)C1
3fsj,[H]OC(c1ccccc1)(C1SC(CCOP(=O)(O)OP(=O)(O)O)=C(C)N1CC1=CN([H])C(C)N([H])C1N)P(=O)(O)OC
2fqy,[H]OCC1OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C(O[H])C1O[H]
4aig,[H]N(C(=O)c1ccco1)C(CC(C)C)C(=O)N([H])C(Cc1cn([H])c2ccccc12)P(=O)(O)O
5e7n,[H]N(C(=O)c1ccc(C)c(S(=O)(=O)N([H])c2ccc(Br)cc2)c1)c1ccccc1C(=O)O
4b5t,CCC(=O)C(=O)O
1bm7,[H]N(c1cccc(C(F)(F)F)c1)c1ccccc1C(=O)O
5l9o,[H]OCC(O[H])C(O[H])C(O[H])C(C[N+]([H])([H])C(CCC(=O)N([H])[H])C(=O)O)O[H]
5vom,[H]N(C)C(=O)c1cccc(-c2ccc3c(c2)N(C(=O)c2ccco2)CC(C)N3C(C)=O)c1
2brb,[H]OCCN([H])C1=C2C(c3ccccc3)=C(c3ccccc3)OC2N([H])CN1[H]
3mhl,[H]N1CN([H])C(N([H])Cc2ccc(S(=O)(=O)N([H])[H])cc2)C([N+](=O)[O-])=C1OC
1qg6,[H]OC1C(COP(=O)(O)OP(=O)(O)OCC2OC(N3CN([H])C4=C(N([H])[H])N([H])CN([H])C43)C(O[H])C2O[H])OC(N2C=CC=C(C(=O)N([H])[H])C2)C1O[H]
5dwr,[H]N1C=CC(C2CC(C)CC([N+]([H])([H])[H])C2)=C(N([H])C(=O)C2C=CC(F)=C(c3c(F)cccc3F)N2[H])C1
1alw,[H]SC(Cc1ccccc1)C(=O)O
4qbk,[H]OCC1OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C(O[H])C1N([H])C(=O)C(Cc1ccc(OC)cc1)[N+]([H])([H])[H]
6f28,[H]n1c(=O)c2c(n(CC(C(=O)O)[N+]([H])([H])[H])c1=O)C[N+]([H])(C)C2
2vmc,[H]OCC1OC(O[H])C(N([H])C(C)=O)C(O[H])C1O[H]
2pql,[H]n1cc(CC[N+]([H])([H])[H])c2ccccc21
2boh,[H]N1OC(c2ccc(Cl)s2)=CC1=Cn1c(C(=O)N([H])C2CC[N+]([H])(C(C)C)CC2)cc2ccccc21
3djp,[H]OCC1OC(n2ccc(=O)n([H])c2=O)C(O[H])C1OP(=O)(O)O
2hf9,[H]OC1C(COP(=O)(O)OP(=O)(O)OP(=O)(O)S)OC(N2CN([H])C3=C2N([H])C(N([H])[H])N([H])C3=O)C1O[H]
4mr3,[H]Oc1c(C)cc(C2N([H])C(=O)c3c(OC)cc(OC)cc3N2[H])cc1C
4kwf,O=C1C(=O)N(Cc2ccccc2)c2ccccc21
3lzz,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])C(N([H])[H])N([H])C3=O)C1O[H]
1w11,[H]OCC(C(=O)N([H])C(C)C(=O)N([H])Cc1ccc(C(N([H])[H])=[N+]([H])[H])cc1)N([H])S(=O)(=O)Cc1ccccc1
6hpw,[H]N(C(=O)c1ccc(C)c(I)c1)c1ccc2c(c1)N([H])C(C[N+]1([H])CCCCC1)N2[H]
3a1c,[H]OC1C(COP(=O)(O)OP(=O)(O)CP(=O)(O)O)OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
4cjn,[H]OCC1OC(O[H])C([N+]([H])([H])[H])C(OC(C)C(=O)O)C1O[H]
4agp,[H]Oc1c(I)cc(C#CCOc2ccccc2)cc1C[N+]1([H])CCC([N+]([H])(CC)CC)CC1
3oyw,[H]OCC1OC(SC2OC(CO[H])C(O[H])C(O[H])C2O[H])C(O[H])C(O[H])C1O[H]
5eh8,COc1ccc(C(C)=CC(=O)O)cc1
3jrs,[H]OC1=CC(C)C(C=CC(C)CC(=O)O)(O[H])C(C)(C)C1
2ymz,[H]OCC1OC(OC2C(CO[H])OC(O[H])C(O[H])C2O[H])C(O[H])C(O[H])C1O[H]
5za7,[H]N([H])C1=C(C(=O)N([H])C(N([H])[H])=[N+]([H])[H])N([H])C(Cl)=C(N2CCCCCC2)N1[H]
6bs3,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
4qnb,[H]N(C(=O)Cc1c(C)n([H])c2ccccc12)C(Cc1ccccc1)C(=O)N(C)c1ccccc1
4z1e,[H]N([H])S(=O)(=O)c1ccc(C(=O)N2C=CC=C3CC(OC)=CC=C32)cc1
6g3a,[H]OCC1OC(n2cc(I)c3c2N([H])CN([H])C3N([H])[H])C(O[H])C1O[H]
4mo8,[H]N1C=C([N+](=O)[O-])N(CCN([H])S(=O)(=O)N([H])[H])C1C
4qd6,[H]OC1CCC(N([H])C2C=C(S(=O)(=O)c3ccccc3)C=C(N([H])C3C=C(c4ccccc4)N([H])N3[H])N2[H])CC1
1pzi,[H]OCc1cc(OC2OC(CO[H])C(O[H])C(O[H])C2O[H])cc([N+](=O)[O-])c1
1w62,[H]n1cccc1C(=O)O
3ccw,[H]OC(CCN1C(C(C)C)=C(C(=O)N([H])Cc2ccccc2)N([H])C1c1ccc(F)cc1)CC(CC(=O)O)O[H]
1o33,[H]OC1=CC=CN([H])C1C1N([H])c2ccc(C(N([H])[H])=[N+]([H])[H])cc2N1[H]
1fdq,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O
6faf,[H]Oc1ccc(S(=O)(=O)N([H])[H])cc1N([H])C(=O)N([H])c1cc(C)ccc1C
5yl2,[H]Oc1cc(C=CC(=O)c2ccc(OC)c3c2OC(C)(C)C=C3)ccc1OC
4gv8,[H]OC1=CCN(C2CC(O[H])C(COP(=O)(O)N([H])P(=O)(O)OP(=O)(O)O)O2)C(O[H])N1[H]
4elf,[H]N([H])C1=C(Cc2cc(C=CC(=O)N3C(CCC(F)(F)F)c4ccccc4C[N+]3([H])[H])c(OC)c(OC)c2)CN([H])C(N([H])[H])N1[H]
5xjd,O=C(O)C(c1ccccc1)n1cccc1
3iu9,[H]N([H])C1N([H])C(SCc2ccc(Cl)cc2Cl)N([H])N1[H]
3axm,[H]OC(COP(=O)(O)O)C(O[H])C(O[H])C(O[H])C(=O)O
1pig,[H]OCC1OC(O[H])C(O[H])C(O[H])C1O[H]
2gsr,[H]N(CC(=O)O)C(=O)C(CS(O)(O)O)N([H])C(=O)CCC(C(=O)O)[N+]([H])([H])[H]
4fmu,[H]OC1C(CC(CCC(C(=O)O)[N+]([H])([H])[H])N([H])CCC)OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
6hke,[H]OC(CC(=O)O)C(=O)O
2zx6,[H]OC1C(O[H])C(C)[N+]([H])([H])C(CN([H])C(=O)Cc2cn([H])c3ccccc23)C1O[H]
2ya8,[H]N(C(C)=O)C1C(OC(CC)CC)C=C(C(=O)O)CC1[N+]([H])([H])[H]
3si4,[H]N(CC1C=CC=CN1C)C(=O)C1CCCN1C(=O)C(Cc1ccccc1)[N+]([H])([H])[H]
5w44,[H]OC1=C(C(=O)N([H])CCc2ccccc2)N([H])C(C2CCCN2C(=O)c2c(Cl)cccc2Cl)N([H])C1=O
3hf8,[H]N([H])C1N([H])C(OC(c2ccc(-c3cccc(F)c3)cc2)C(F)(F)F)=CC(c2ccc(CC(C(=O)O)[N+]([H])([H])[H])cc2)N1[H]
3rm9,[H]N([H])C(N1CCN(c2ccc(Cl)cc2)CC1)=[N+]([H])[H]
1hdr,[H]OC1C(COP(=O)(O)OP(=O)(O)OCC2OC(N3CN([H])C4=C3N([H])CN([H])C4N([H])[H])C(O[H])C2O[H])OC(N2C=C(C(O[H])N([H])[H])C=CC2)C1O[H]
2qeh,[H]Oc1ccc2c(c1)c(CC[N+]([H])([H])[H])cn2[H]
3g9e,[H]N1C(CCOc2ccc(CC(OC)C(=O)O)c3sccc23)=C(C)OC1c1ccccc1
3dnt,[H]OC1C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
3hy8,[H]OC(COP(=O)(O)O)C(O[H])C(CN1c2cc(C)c(C)cc2N([H])c2c1n([H])c(=O)n([H])c2=O)O[H]
3td4,[H][N+]([H])([H])C(CCCC(C(=O)O)[N+]([H])([H])[H])C(=O)O
5er4,[H]Oc1ccc2cc3c4c(cccc4c2c1O[H])CCN3C
4i7l,[H]Oc1ccccc1
5f60,[H]N1C=C(C)C(N([H])c2ccc(Cl)c(N([H])S(=O)(=O)C(C)(C)C)c2)N([H])C1N([H])c1ccc(N2CC[N+]([H])(C)CC2)cc1
5mek,[H]OC1C(OP(=O)(O)O)C(COP(=O)(O)O)OC1N1CN([H])C2=C1N([H])CN([H])C2N([H])[H]
3umq,CCCC(=O)O
7upj,[H]OC1=C2CCCCCCC2OC(=O)C1C(c1cccc(N([H])S(=O)(=O)c2ccccc2)c1)C1CC1
4a4x,[H]N1CC(c2cc(CN(C)C)cs2)=CC(c2ccc(C(N)=O)c(OC(C)c3ccccc3C(F)(F)F)c2)=C1N
4wkn,[H]OC1C[N+]([H])(Cc2cn([H])c3c2N([H])CN([H])C3N([H])[H])CC1CSC
5u11,[H]OC1=C2C(N([H])C(SCC(=O)N([H])C)N2[H])N([H])C(N([H])[H])N1[H]
5ggn,[H]OCC1OC(Oc2ccc([N+](=O)[O-])cc2)C(N([H])C(C)=O)C(O[H])C1O[H]
6gf9,CCCCCCCCCCCCCCCCC(=O)O
5kr2,[H]OC(C[N+]1([H])CC2CCCCC2CC1C(=O)N([H])C(C)(C)C)C(Cc1ccccc1)N([H])C(=O)C(CC(=O)N([H])[H])N([H])C(=O)C1=CC=C2C=CC=CC2N1[H]
5mmg,[H]N(c1ccc2ccn(S(C)(=O)=O)c2c1)c1cc(C(C)=O)ccc1OCC
2vxn,[H]ON([H])C(=O)COP(=O)(O)O
3vd4,[H]OCC1OC(SC(C)C)C(O[H])C(O[H])C1O[H]
1h1h,[H]OC1C(COP(=O)(O)O)OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1OP(=O)(O)O
2fqw,[H]OCC1OC(N2CN([H])C3=C2N([H])CN([H])C3=O)C(O[H])C1O[H]
4de1,[H]N(C(=O)C1=CC2=CN([H])N([H])C2C=C1)c1cccc(C2N([H])N=NN2[H])c1
2p53,[H]OC1OC(COP(=O)(O)O)C(O[H])C(O[H])C1N([H])P(C)(=O)O
1njf,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
2erz,[H]n1ccc2c(S(=O)(=O)N3CCC[N+]([H])([H])CC3)cccc2c1=O
10gs,[H]N(C(=O)CCC(C(=O)O)[N+]([H])([H])[H])C(CSCc1ccccc1)C(=O)N([H])C(C(=O)O)c1ccccc1
3rz8,[H]N(CCCCCC)C(=O)c1ccc(S(=O)(=O)N([H])[H])cc1
5sz7,[H]N1C=C(c2ccc(S(=O)(=O)N([H])[H])cc2)C=C2C=CC=CC21
4km0,[H]N([H])C1C(c2ccc(Cl)cc2)=C(CC)N([H])C(N([H])[H])N1[H]
4b2d,[H]OC1C(COP(=O)(O)O)OC(COP(=O)(O)O)(O[H])C1O[H]
5eh7,[H]N1C(COc2ccc(Cl)c(Cl)c2)N([H])N([H])N1[H]
4q9o,[H]N1OC(C)C(C(=O)N([H])c2ccc(C(C)C)cc2)=C1c1ccccc1Cl
5k0s,[H]OC1=C2C=CC=CC2N([H])C(N([H])CCC[N+]([H])([H])Cc2cc(Cl)cc(Cl)c2)=C1
2xnb,[H]N1CC=C(c2sc(=O)n(C)c2C)N([H])C1N([H])c1ccc(N2CC[N+]([H])([H])CC2)cc1
3n2v,[H]OCCN(CC(=O)N([H])O[H])S(=O)(=O)c1ccc(-c2ccccc2)cc1
1phw,[H]OC1COC(COP(=O)(O)O)C1O[H]
1gyy,[H]Oc1ccc(C=C(F)C(=O)O)cc1
3q71,[H]OC1OC(COP(=O)(O)OP(=O)(O)OCC2OC(N3CN([H])C4=C(N([H])[H])N([H])CN([H])C43)C(O[H])C2O[H])C(O[H])C1O[H]
3ddg,[H]OCC(c1ccccc1)[N+]([H])([H])CC1C(O[H])C(O[H])C(=O)N1C
5nvv,[H]OCC(=O)N([H])C(C(=O)N1CC(O[H])CC1C(=O)N([H])Cc1ccc(C2=C(C)N([H])CS2)cc1)C(C)(C)C
3sm2,[H]OC(CN(CC(C)C)S(=O)(=O)c1ccc(N([H])[H])cc1)C(Cc1ccccc1)N([H])C(=O)OC1CCOC1
1oyt,[H]N([H])C(c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCC[N@@+]32[H])cc1)=[N+]([H])[H]
3wha,[H]N([H])C(=O)CCCSC1N([H])C(c2c(Cl)cc3c4c(cccc24)COC3)N([H])C(N([H])[H])N1[H]
2e27,[H]OC1C2OC=CC=CC2OC2CC(OCOC)C(CC(=O)O)OC21
2j7e,[H]OCC1C(O[H])C(O[H])C(O[H])C2N([H])C(CC(=O)OC)=CN12
3d9z,[H]N1C(c2ccccc2Cl)SC(S(=O)(=O)N([H])[H])N1[H]
3bl0,[H]N1C(CS(=O)(=O)N([H])[H])SC(N(C)C)N1[H]
2uz9,[H]N1CN([H])c2c1c(=O)n([H])c(=O)n2[H]
3veh,[H]OC1C(OC(=CC)C(=O)O)CCCC1C(=O)O
3cd7,[H]OC(CCc1c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)c(C(=O)N([H])c2ccccc2)n1C(C)C)CC(CC(=O)O)O[H]
3iod,[H]OC1C(CSSCc2cccc([N+](=O)[O-])c2)OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
1z9y,[H]N(Cc1ccco1)c1cc(Cl)c(S(=O)(=O)N([H])[H])cc1C(=O)O
1d3d,[H]Oc1ccc2c(Cc3ccc(C[N+]4([H])CCCC4)c(Br)c3)c(-c3ccc(OCC[N+]4([H])CCCC4)cc3)sc2c1
3nw7,[H]N(CC1N([H])C(N([H])C2C=C(C3CC3)N([H])N2[H])=C2C=CCN2N1[H])C(=O)C1=CN([H])C(F)C=C1
1qb9,[H]N([H])C(c1ccc2ccc(Cn3c4ccccc4c4ccc(OC5CCN(C(C)N([H])[H])CC5)cc43)cc2c1)=[N+]([H])[H]
2fzk,[H]N(C(=O)CP(=O)(O)O)c1cc(C(=O)O)cc(N([H])C(=O)CP(=O)(O)O)c1
1cnw,[H]N(CCOCCOCCN([H])C(=O)c1ccc(S(=O)(=O)N([H])[H])cc1)C(=O)C[N+]([H])([H])[H]
1c86,[H]OC(C(=O)O)N([H])C1SC2COCCC2=C1C(=O)O
1k1j,[H]N([H])C(c1cccc(CC(C(=O)N2CCC(C(=O)OC)CC2)N([H])S(=O)(=O)c2ccc3ccccc3c2)c1)=[N+]([H])[H]
6dak,[H]N(Cc1cccc(-c2cn3cccc3n2[H])c1)C(=O)c1ccccc1
5kr0,[H]OC(CN(CC(C)C)S(=O)(=O)c1ccc(N([H])[H])cc1)C(Cc1ccccc1)N([H])C(=O)OC1CCOC1
3l5r,[H]Oc1ccc2c(=O)c(-c3ccc(O[H])c(O[H])c3)coc2c1
2xii,[H]OC1C(O[H])C(C)[N+]([H])([H])C(CN([H])C(=O)c2cccc3c2C(=O)c2ccccc2-3)C1O[H]
1ywr,[H]N1C=C[C@H](c2c(-c3ccc(F)cc3)c(=O)n(C3CC[N+]([H])([H])CC3)n2C)N([H])C1N([H])[C@@H](C)c1ccccc1
1m7d,[H]OC1C(C)OC(OC2CC(OC3C(O~[HH])C(CO~[HH])OC(OC)C3N(~[HH])C(C)=O)OC(C)C2O~[HH])C(O[H])C1O[H]
2w4x,[H]OCC1OC(O[H])C(N([H])C(=O)N(C)N([H])O[H])C(O[H])C1O[H]
1msm,[H]Oc1cccc(C(=O)N([H])C(Cc2ccccc2)C(O[H])C(=O)N2CSC(C)(C)C2C(=O)N([H])Cc2ccccc2C)c1C
1bq4,O=C(O)c1c(C(=O)O)c(C(=O)O)c(C(=O)O)c(C(=O)O)c1C(=O)O
4j7e,[H]N1C(C)N(C(=O)N2CC[N+]([H])(CCCS(C)(=O)=O)CC2)C(C)(c2ccc(Cl)cc2)C1(C)c1ccc(Cl)cc1
4ddk,O=C(O)c1ccc2c(c1)OCO2
4u5o,[H]N1C=C(c2ccc(C[N+]([H])([H])C(CCCC[N+]([H])([H])[H])C(=O)N([H])[H])cc2)C=CC1
3sk2,[H]OCc1ccc(OC)c2c1N([H])c1cccc(C(=O)O)c1N2[H]
5h4j,[H]N(C(C)c1cccc(OC2CCCC2)c1)S(=O)(=O)CCCOCn1ccc(=O)n([H])c1=O
4q6d,[H]N(c1ccc(S(=O)(=O)N([H])[H])cc1)N([H])N1CCCCCC1
4zx4,[H]ON([H])C(=O)C(c1ccc(-c2cc(F)c(F)c(F)c2)cc1)N([H])C(=O)C(C)(C)C
5otz,[H][N+]([H])([H])Cc1cc(Cl)c(-c2ccccc2CC)c(Cl)c1
5lwd,[H]N([H])C(=O)CN([H])C(=O)C(CC(C)C)N([H])P(=O)(O)CN([H])C(=O)OCc1ccccc1
1g53,[H]N(Cc1c(F)cccc1F)C(=O)c1ccc(S(=O)(=O)N([H])[H])cc1
2wzm,[H]OC1COC(COP(=O)(O)OP(=O)(O)OCC2OC(N3CN([H])C4=C3N([H])CN([H])C4N([H])[H])C(OP(=O)(O)O)C2O[H])C1O[H]
4z0q,[H]N([H])S(=O)(=O)c1ccc(C(=O)N2CCCc3ccccc32)cc1
1hmr,CCCCCCCCCCCCCCC=CCC(=O)O
2ovy,[H]N1CN([H])C(N2CCC(OC3=CN([H])c4ccccc4N3[H])C2)=C2CC(OC)=C(OC)C=C21
2j4k,[H]OC1C(COP(=O)(O)O)OC(N2C=CC(O[H])N([H])C2=O)C1O[H]
1o0f,[H]OC1C(OP(=O)(O)O)C(COP(=O)(O)O)OC1N1CN([H])C2=C1N([H])CN([H])C2N([H])[H]
4xnv,[H]N1CC=CC(N([H])C(=O)N([H])c2ccc(OC(F)(F)F)cc2)=C1Oc1ccccc1C(C)(C)C
