PDBCode,DatabaseSmile,RDKitCanonSmile
5ueu,COC(=O)C[C@@H]1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)sc(c2C)C,COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21
4hym,CCc1[nH]c2c(c1Cl)c(nc(n2)Sc1cnc2c(c1)[nH]c(=O)cn2)N1CC[C@H](C1)[NH3+],CCc1[nH]c2nc(Sc3cnc4ncc(=O)[nH]c4c3)nc(N3CC[C@@H]([NH3+])C3)c2c1Cl
2aco,CCCCCCC=CCCCCCCCCCC(=O)O,CCCCCCC=CCCCCCCCCCC(=O)O
3qaa,CO[C@H]1CO[C@H]2[C@@H]1[C@H](CO2)OC(=O)N[C@H]([C@@H](CN(S(=O)(=O)c1ccc(cc1)OC)CC(C)C)O)Cc1ccccc1,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CO[C@H]3OC[C@H](OC)[C@@H]23)cc1
5nze,CCC(O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)[NH3+])C(=O)O)CC,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H]([NH3+])[C@H]1NC(C)=O
5vcy,COc1cc2c(cc1OCCC[N@@H+]1CC[N@H+](CC1)C)ncc(c2Nc1cc(OC)c(cc1Cl)Cl)C#N,COc1cc(Nc2c(C#N)cnc3cc(OCCC[NH+]4CC[NH+](C)CC4)c(OC)cc23)c(Cl)cc1Cl
5yas,OC(C(F)(F)F)(C(F)(F)F)O,OC(O)(C(F)(F)F)C(F)(F)F
3u90,CCCCCCCCCCCCOS(O)(O)O,CCCCCCCCCCCCOS(O)(O)O
1txr,O[C@@H]([C@@H](Cc1ccccc1)[NH3+])C(=O)N[C@H](C(=O)O)CC(C)C,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H]([NH3+])Cc1ccccc1)C(=O)O
5neb,CN1N=C([C@H]2[C@@H]1C[NH2+][C@@H]2C(=O)O)C(=O)O,CN1N=C(C(=O)O)[C@@H]2[C@@H](C(=O)O)[NH2+]C[C@@H]21
2pyn,O[C@@H]([C@@H](NC(=O)c1cccc(c1C)O)CSc1ccccc1)C[N@@H+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)C[N@@H+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
2y5f,OCC[N+]1(CCCN2C(=O)[C@H]3[C@@H](C2=O)[C@H]2[N@@H+]([C@H]3c3noc(c3)c3ccc(s3)Cl)CCC2)CCCC1,O=C1[C@H]2[C@@H](C(=O)N1CCC[N+]1(CCO)CCCC1)[C@@H]1CCC[N@@H+]1[C@H]2c1cc(-c2ccc(Cl)s2)on1
2j34,Clc1ccc2c(c1)sc(c2)S(=O)(=O)N[C@H]1CCN(C1=O)[C@H](C(=O)N1CCOCC1)C,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3ccc(Cl)cc3s2)C1=O
2w8j,OC[C@@H](C(=O)O)/N=C/c1c(cnc(c1O)C)COP(O)(O)O,Cc1ncc(CO[PH](O)(O)O)c(/C=N/[C@@H](CO)C(=O)O)c1O
2rke,OC(=O)CS(O)(O)O,O=C(O)CS(O)(O)O
5k0m,Fc1cccc2c1[C@H](CC2)[N@@H+]1C[C@@H]([C@H](C1)c1ccc(cc1)N1CCN(CC1)S(=O)(=O)C)[NH+](C)C,C[NH+](C)[C@H]1C[N@@H+]([C@H]2CCc3cccc(F)c32)C[C@@H]1c1ccc(N2CCN(S(C)(=O)=O)CC2)cc1
2r2m,O=C(Cc1c(Cl)ccc(c1F)NCC(c1ccccc1)(F)F)NCCONC(=[NH2+])N,NC(=[NH2+])NOCCNC(=O)Cc1c(Cl)ccc(NCC(F)(F)c2ccccc2)c1F
1njs,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)[C@H](C(C(F)(F)F)(O)O)CCCc1c(N)nc([nH]c1=O)N,Nc1nc(N)c(CCC[C@H](c2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)C(O)(O)C(F)(F)F)c(=O)[nH]1
6fng,Cn1nc2c(c1)c(Nc1cc(ccc1C)C(=O)Nc1cccc(c1)C(F)(F)F)nc(n2)c1cccnc1,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12
6ff8,c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N,Nc1nc2c(ncn2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
2ceq,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1ccn2)O,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)c2nccn21
4y3y,OC[C@H](CC(C)C)[NH3+],CC(C)C[C@H]([NH3+])CO
5elw,O[C@H](Cn1ncnc1)CP(O)(O)O,O[C@H](Cn1cncn1)C[PH](O)(O)O
2a14,OC(=O)[C@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)[NH3+],Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)O)[C@@H](O)[C@H]1O
3nhi,CCCCC/C=CCC/C=C/CCCC[C@H](CCCC(=O)O)O,CCCCCC=CCC/C=C/CCCC[C@@H](O)CCCC(=O)O
3tdc,CCNC(=O)Nc1c(c2ccccc2s1)C(=O)N3CCC(CC3)[N@]4CCC[C@@]5(C4)CC(OC5=O)(C)C,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCC[C@@]3(C2)CC(C)(C)OC3=O)CC1
4p6w,ClC[C@H]([C@@]1(OC(=O)c2ccco2)[C@H](C)C[C@@H]2[C@]1(C)C[C@H](O)[C@]1([C@H]2CCC2=CC(=O)C=C[C@]12C)Cl)O,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)[C@H](O)CCl
1bnw,O=S(=O)(c1ccc(s1)S(=O)(=O)N)NCc1cccs1,NS(=O)(=O)c1ccc(S(=O)(=O)NCc2cccs2)s1
4up5,COc1ccc2c(c1)sc(n2)N,COc1ccc2nc(N)sc2c1
2bes,ONC(=O)[C@@H]([C@@H](COP(O)(O)O)O)O,O=C(NO)[C@H](O)[C@H](O)CO[PH](O)(O)O
4b9k,O[C@@H]1C[C@H](N(C1)C(=O)c1cccc(c1C)N)C(=O)NCc1ccc(cc1)c1scnc1C,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)c2cccc(N)c2C)cc1
5nbw,Oc1ccc2c3c1ccc1c3c(cc2)c2c(c1)cccc2,Oc1ccc2ccc3c4ccccc4cc4ccc1c2c43
6f20,CCOC(=O)c1ccnc2c1cc[nH]2,CCOC(=O)c1ccnc2[nH]ccc12
3t2q,OC[C@H]1OC(=O)[C@@H]([C@H]([C@H]1O)O)O,O=C1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
5e89,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@@H]([C@@H]([C@H]2O)n2nnc(c2)c2cccc(c2)F)O)[C@@H]([C@H]([C@H]1O)n1nnc(c1)c1cccc(c1)F)O,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@H]2O)[C@H](O)[C@@H](n2cc(-c3cccc(F)c3)nn2)[C@H]1O
1gpk,C/C=C/1[C@@H]2C=C(C[C@@]1([NH3+])c1c(C2)[nH]c(=O)cc1)C,C/C=C1\[C@@H]2C=C(C)C[C@@]1([NH3+])c1ccc(=O)[nH]c1C2
1bzy,O[C@H]1[C@@H]([NH2+][C@@H]([C@H]1O)COP(O)(O)O)c1c[nH]c2c1nc(N)[nH]c2=O,Nc1nc2c([C@@H]3[NH2+][C@H](CO[PH](O)(O)O)[C@@H](O)[C@H]3O)c[nH]c2c(=O)[nH]1
5nki,O=C(c1cnc(s1)Nc1cc(cc(c1)S(=O)(=O)C)N1CCOCC1)Nc1c(C)cccc1Cl,Cc1cccc(Cl)c1NC(=O)c1cnc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)s1
4ipi,OC(=O)C[C@@H](C(=O)O)O,O=C(O)C[C@H](O)C(=O)O
1egh,OC(=O)COP(O)(O)O,O=C(O)CO[PH](O)(O)O
5iki,CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C,CC(C)C1=CC2=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1
3a4v,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)([O-])O[P@@](=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N,NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO[P@@](=O)([O-])O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
3ouj,OC(=O)CCC(=O)C(=O)O,O=C(O)CCC(=O)C(=O)O
2clh,OP(OCCNS(=O)(=O)c1ccc2c(c1)cccc2)(O)O,O=S(=O)(NCCO[PH](O)(O)O)c1ccc2ccccc2c1
4qvx,CN(C)CC#Cc1ccc(c(c1)F)OCCCc2c(nc(s2)N3CCc4cccc(c4C3)C(=O)Nc5nc6ccccc6s5)C(=O)O,CN(C)CC#Cc1ccc(OCCCc2sc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)c(F)c1
2cbv,O[C@@H]1[C@@H](O)[C@H]2CC[C@@]([C@H]1O)([NH2+]2)O,O[C@H]1[C@H]2CC[C@](O)([NH2+]2)[C@@H](O)[C@@H]1O
2zof,CC(C)C[C@@H](C(=O)O)NC(=O)[C@H]([C@@H](Cc1ccccc1)N)O,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O
5n34,[NH3+]CCNC(=O)[C@@H](NP(CNC(=O)OCc1ccccc1)(O)O)CC(C)C,CC(C)C[C@H](N[PH](O)(O)CNC(=O)OCc1ccccc1)C(=O)NCC[NH3+]
4do1,COc1ccc(cc1)C(=O)O,COc1ccc(C(=O)O)cc1
1u7t,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)([O-])O[P@@](=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N,NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO[P@@](=O)([O-])O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
5tuo,Nc1nnc(s1)S(=O)(=O)N,Nc1nnc(S(N)(=O)=O)s1
3o9i,CCC(CN(S(=O)(=O)c1ccc2c(c1)scn2)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)CC,CCC(CC)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc2ncsc2c1
3bxd,C1(C(C(C(C(C1O)O)O)O)O)O,OC1C(O)C(O)C(O)C(O)C1O
3o9a,CC[C@@H](CN(S(=O)(=O)c1ccc(cc1)OC)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C,CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(OC)cc1
4o2p,Cl[C@H](c1ccccc1)Cn1ncc2c1nc(SCC[NH+]1CCOCC1)nc2Nc1ccccc1,Cl[C@@H](Cn1ncc2c(Nc3ccccc3)nc(SCC[NH+]3CCOCC3)nc21)c1ccccc1
5ljq,NS(=O)(=O)c1ccc(cc1)n1nnc(c1)COc1ccccc1,NS(=O)(=O)c1ccc(-n2cc(COc3ccccc3)nn2)cc1
2z6j,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C
4bqh,O=C1Nc2c([C@@]1(O)CC(=O)c1ccc3c(c1)OCO3)c(Br)c(cc2)C,Cc1ccc2c(c1Br)[C@@](O)(CC(=O)c1ccc3c(c1)OCO3)C(=O)N2
5llh,Fc1c(Sc2nc3c(s2)cccc3)c(F)c(c(c1F)S(=O)(=O)N)F,NS(=O)(=O)c1c(F)c(F)c(Sc2nc3ccccc3s2)c(F)c1F
1hvr,O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C(=O)N([C@@H]1Cc1ccccc1)Cc1ccc2c(c1)cccc2)Cc1ccc2c(c1)cccc2,O=C1N(Cc2ccc3ccccc3c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc2ccccc2c1
1m0o,CC[C@@](P(O)(O)O)(/N=C/c1c(cnc(c1O)C)COP(O)(O)O)C,CC[C@](C)(/N=C/c1c(CO[PH](O)(O)O)cnc(C)c1O)[PH](O)(O)O
1os5,Oc1ccc(cc1)CC[C@]1(CC(=C(C(=O)O1)Sc1cc(C)c(cc1C(C)(C)C)N)O)C1CCCC1,Cc1cc(SC2=C(O)C[C@@](CCc3ccc(O)cc3)(C3CCCC3)OC2=O)c(C(C)(C)C)cc1N
2vpn,OC(=O)[C@@H]1CCN=C(N1)C,CC1=NCC[C@@H](C(=O)O)N1
2cle,O=C(c1ccc(cc1)OC(F)(F)F)NCCOP(O)(O)O,O=C(NCCO[PH](O)(O)O)c1ccc(OC(F)(F)F)cc1
5nn6,OCC[N@@H+]1C[C@H](O)[C@H]([C@@H]([C@H]1CO)O)O,OCC[N@@H+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
4rfm,O=C(c1[nH]nc2c1C[C@H]1[C@@](C2)(C1(F)F)C)Nc1cnn(c1)[C@@H]([C@H]1CCCCS1(=O)=O)c1ccccc1,C[C@@]12Cc3n[nH]c(C(=O)Nc4cnn([C@H](c5ccccc5)[C@H]5CCCCS5(=O)=O)c4)c3C[C@@H]1C2(F)F
5lvd,OC[C@@H](C(=O)N)NP(CNC(=O)OCc1ccccc1)(O)O,NC(=O)[C@H](CO)N[PH](O)(O)CNC(=O)OCc1ccccc1
1td7,OC(=O)c1cccnc1Nc1cccc(c1)C(F)(F)F,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
2wtv,Clc1ccc2c(c1)C(=NCc1c2nc(nc1)Nc1ccc(cc1)C(=O)O)c1c(F)cccc1F,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1
4djw,NC1=[NH+][C@](C(=O)N1C)(c1ccccc1)c1cccc(c1)c1cccnc1,CN1C(=O)[C@@](c2ccccc2)(c2cccc(-c3cccnc3)c2)[NH+]=C1N
4b5d,OCC[C@H]1C[C@@H]1c1cncc(c1)OC[C@@H]1CC[NH2+]1,OCC[C@H]1C[C@@H]1c1cncc(OC[C@@H]2CC[NH2+]2)c1
2whp,NC(=O)c1cc[n+](cc1)COC[n+]1ccccc1,NC(=O)c1cc[n+](COC[n+]2ccccc2)cc1
3s77,NS(=O)(=O)c1nccs1,NS(=O)(=O)c1nccs1
2c92,OC[C@H]([C@H]([C@@H](Cn1c2[nH]c(=O)[nH]c(=O)c2n(c1=O)CCCCCOP(O)(O)O)O)O)O,O=c1[nH]c(=O)c2c([nH]1)n(C[C@@H](O)[C@H](O)[C@H](O)CO)c(=O)n2CCCCCO[PH](O)(O)O
5fns,OC(=O)C[C@H](c1ccc2c(c1)nnn2C)c1ccc(c(c1)CN(S(=O)(=O)C)C)Cl,CN(Cc1cc([C@H](CC(=O)O)c2ccc3c(c2)nnn3C)ccc1Cl)S(C)(=O)=O
4en4,COCc1c(CO)cnc(c1O)C,COCc1c(CO)cnc(C)c1O
5oh9,O=C1SCC(=O)N1,O=C1CSC(=O)N1
5nz4,CCC(O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)[NH3+])C(=O)O)CC,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H]([NH3+])[C@H]1NC(C)=O
4aia,Nc1ncn(c2c1ncn2)C,Cn1cnc(N)c2ncnc1-2
1pxp,Cc1nc(c(s1)c1ccnc(n1)Nc1ccc(cc1)N(C)C)C,Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)cc3)n2)s1
4p58,Cn1nc(c(c1)c1ccn[nH]1)C,Cc1nn(C)cc1-c1ccn[nH]1
3el4,NC(=O)C[C@@H](C(=O)N[C@H]([C@@H](C[N@@H+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)O)Cc1ccccc1)NC(=O)c1ccc2c(n1)cccc2,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[N@H+]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1
1g30,CCOC(=O)CO/N=C(C1(CC1)c1ccc2c(c1)nc(n2C)CNc1ccc(cc1)C(=[NH2+])N)/c1ccccn1,CCOC(=O)CO/N=C(/c1ccccn1)C1(c2ccc3c(c2)nc(CNc2ccc(C(N)=[NH2+])cc2)n3C)CC1
1ws5,CO[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
3m37,[NH3+]Cc1ccccc1n1nc(cc1C(=O)Nc1ccc(cc1F)c1ccccc1S(=O)(=O)N)C(F)(F)F,NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccccc2C[NH3+])c(F)c1
4qbk,COc1ccc(cc1)C[C@@H](C(=O)N[C@@H]2[C@H](O[C@H]([C@@H]2O)n3cnc4c3ncnc4N)CO)N,COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)O[C@@H](n3cnc4c(N)ncnc43)[C@@H]2O)cc1
4aji,COc1cc(ccc1OC)CC(C(=O)O)C(=O)O,COc1ccc(CC(C(=O)O)C(=O)O)cc1OC
3st5,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@@H]1C[C@H]2[C@@H](C1)OC[C@@H]2O)O)CC(C)C,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC[C@H](O)[C@H]3C2)cc1
4twp,CNC(=O)c1ccccc1Sc1ccc2c(c1)n[nH]c2/C=C/c1ccccn1,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)[nH]nc2c1
2v2q,O=C(NC[C@@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc(=N)[nH]c1=O)CCc1nc2c([nH]1)cccc2,N=c1ccn([C@@H]2O[C@@H](CNC(=O)CCc3nc4ccccc4[nH]3)[C@@H](O)[C@H]2O)c(=O)[nH]1
3ttn,C(CCNCCCN)CN,NCCCCNCCCN
3zlr,[NH3+]Cc1ccc(cc1)OCCCc1sc(nc1C(=O)O)c1ccc2c(c1)/C(=N/Nc1nc3c(s1)cccc3)/CCC2,[NH3+]Cc1ccc(OCCCc2sc(-c3ccc4c(c3)/C(=N/Nc3nc5ccccc5s3)CCC4)nc2C(=O)O)cc1
1e6s,OC[C@H]1N/C(=N/O)/[C@@H]([C@H]([C@@H]1O)O)O,OC[C@H]1N/C(=N/O)[C@H](O)[C@@H](O)[C@@H]1O
3tao,ONC(=O)COP(O)(O)O,O=C(CO[PH](O)(O)O)NO
2v3d,CCCC[N@@H+]1C[C@H](O)[C@H]([C@@H]([C@H]1CO)O)O,CCCC[N@@H+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
1g46,O=C(c1ccc(cc1)S(=O)(=O)N)NCc1cccc(c1F)F,NS(=O)(=O)c1ccc(C(=O)NCc2cccc(F)c2F)cc1
3djf,c1cc(cnc1)Cc2c[nH]c3c2N=C(NC3=O)N,Nc1nc2c(Cc3cccnc3)c[nH]c2c(=O)[nH]1
3bvb,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1
6h29,NC(=O)OCc1ccccc1,NC(=O)OCc1ccccc1
6c7d,Cc1c2nnc(n2c3cc(ccc3n1)C(=O)NC45CC6CC(C4)CC(C6)C5)c7ccccc7Cl,Cc1nc2ccc(C(=O)NC34CC5CC(CC(C5)C3)C4)cc2n2c(-c3ccccc3Cl)nnc12
3p3s,CN1/C(=Cc2cc(Br)c(c(c2)Br)O)/C(=O)NC1=[NH2+],CN1C(=[NH2+])NC(=O)C1=Cc1cc(Br)c(O)c(Br)c1
2gbp,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
6ma5,COc1ccccc1[C@H](C(=O)N(Cc1cccs1)CC(=O)O)NS(=O)(=O)c1ccc2c(c1)ccc(=O)[nH]2,COc1ccccc1[C@@H](NS(=O)(=O)c1ccc2[nH]c(=O)ccc2c1)C(=O)N(CC(=O)O)Cc1cccs1
6hp9,Cc1cn(cn1)c2cc(cc(c2)NC(=O)c3ccc4c(c3)C[C@@H](C4)Nc5cncnc5)C(F)(F)F,Cc1cn(-c2cc(NC(=O)c3ccc4c(c3)C[C@H](Nc3cncnc3)C4)cc(C(F)(F)F)c2)cn1
4n5d,Cc1ncc2c(n1)N(C)C(=O)C(=N)C2,Cc1ncc2c(n1)N(C)C(=O)C(=N)C2
4xit,NC(=O)c1cc2N(CCc3n(c2cc1Cl)c1CC(C)(C)CC(=O)c1c3C)Cc1ccco1,Cc1c2c(n3c1CCN(Cc1ccco1)c1cc(C(N)=O)c(Cl)cc1-3)CC(C)(C)CC2=O
4idn,O[C@@H]1[C@@H](COP(OP(NP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1[nH]c(N)[nH+]c2=O,Nc1[nH]c2c(ncn2[C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)N[PH](O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH+]1
1z9y,OC(=O)c1cc(c(cc1NCc1ccco1)Cl)S(=O)(=O)N,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
5jxn,CC[C@H](CNC(=O)[C@@H](NP(CNC(=O)OCc1ccccc1)(O)O)CC(C)C)C,CC[C@@H](C)CNC(=O)[C@H](CC(C)C)N[PH](O)(O)CNC(=O)OCc1ccccc1
3u6i,COc1ccc2c(c1)nccc2Oc1ccc(cc1F)NC(=O)c1c(C)n(n(c1=O)c1ccccc1)C[C@H](O)C,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(C[C@@H](C)O)n(-c5ccccc5)c4=O)cc3F)ccnc2c1
4xoe,CCCCCCCO[C@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)O)O,CCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
3kjs,CCOC(=O)CCCOc1cc(ccc1OC)NCc2ccc3c(c2)c(nc(n3)N)N,CCOC(=O)CCCOc1cc(NCc2ccc3nc(N)nc(N)c3c2)ccc1OC
4riv,O[C@@H]1NS(=O)(=O)c2c1cccc2,O=S1(=O)N[C@@H](O)c2ccccc21
4q4p,O=c1nc[nH]c2c1cc1nc([nH]c1c2)NCC[NH+]1CCCCC1,O=c1nc[nH]c2cc3[nH]c(NCC[NH+]4CCCCC4)nc3cc12
4arb,COc1cc(N(C)C)c(cc1C(=O)NC[C@@H]1CCC[N@H+]1CC)N(=O)=O,CC[N@@H+]1CCC[C@H]1CNC(=O)c1cc([N+](=O)[O-])c(N(C)C)cc1OC
2rkg,O=C(N[C@H]([C@H](C[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O
1p1q,OC(=O)[C@H](Cc1c(C)o[nH]c1=O)[NH3+],Cc1o[nH]c(=O)c1C[C@H]([NH3+])C(=O)O
3b4f,[NH3+]NC(=O)c1[nH]c2c(c1c1ccccc1)cc(cc2)S(=O)(=O)N,NS(=O)(=O)c1ccc2[nH]c(C(=O)N[NH3+])c(-c3ccccc3)c2c1
5lz5,N#Cc1cc(OCCN2C[C@](CC2=O)(C)c2ccccc2)ccc1F,C[C@@]1(c2ccccc2)CC(=O)N(CCOc2ccc(F)c(C#N)c2)C1
5exn,COC(=O)Nc1ccc(cc1)c1ccnc(c1)[C@H](Cc1ccccc1)NC(=O)/C=C/c1cc(Cl)ccc1n1cnnn1,COC(=O)Nc1ccc(-c2ccnc([C@H](Cc3ccccc3)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)c2)cc1
3hzl,c1ccnc(c1)C(=O)O,O=C(O)c1ccccn1
456c,ONC(=O)CC1(CCOCC1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)Cl,O=C(CC1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1)NO
2buv,OC(=O)c1ccc(c(c1)O)O,O=C(O)c1ccc(O)c(O)c1
3dx2,O[C@@H]1[C@H]([NH3+])[C@H]([C@@H]([C@@H]1O)O)[S@](=O)C,C[S@@](=O)[C@@H]1[C@@H]([NH3+])[C@@H](O)[C@@H](O)[C@H]1O
2xmy,COCCNS(=O)(=O)c1ccc(cc1)Nc1nccc(n1)c1sc(=O)n(c1C)C,COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3sc(=O)n(C)c3C)n2)cc1
5v1b,c1cc(n2c(c1)ncn2)c3ccc(cc3)C#N,N#Cc1ccc(-c2cccc3ncnn23)cc1
2vqt,OC[C@H]1N/C(=NCC[NH3+])/[C@H]([C@H]([C@@H]1O)O)O,[NH3+]CCN=C1N[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
2ze3,C(CC(=O)O)C(=O)C(=O)O,O=C(O)CCC(=O)C(=O)O
5ihh,COc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,COc1cc(O)c2c(=O)cc(-c3ccc(O)c(O)c3)oc2c1
4pum,CNc1nc2c([nH]1)cc1c(c2)c(=O)[nH+]c([nH]1)N,CNc1nc2cc3c(=O)[nH+]c(N)[nH]c3cc2[nH]1
